,index,adrr,COGI,cv,ea1c,gmi,grade,grade_eugly,grade_hyper,grade_hypo,hbgi,lbgi,hyper_index,hypo_index,igc,iqr,j_index,m_value,MAD,mage,above_140,above_180,below_54,below_70,in_range_63_140,in_range_70_180,range,sd,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,Conga,GVP,MODD,SD.Roc,CV_Measures_Mean,CV_Measures_SD,AUC,MAG,SdW,SdHHMM,SdWSH,SdDM,SdB,SdBDM,above_200,bt__hba1c,bt__glucose
31,0.024893665979504126,-0.002018918893190306,0.01873641938045806,-0.01414693200131324,0.1322749719806565,0.13227498387831724,0.03114332251706724,-0.00598117951170938,0.17608788586671786,0.06989308084784854,0.05068861717815056,0.04395674207456044,0.028395407589369526,0.024983734596685625,0.027992946632031074,0.18520840395723254,0.1197045563766847,0.024344455174541448,0.18672994937437148,-0.026889773398809113,0.15370782983720777,0.021594233836079953,0.002950097974296669,0.019979370395089787,0.032122868703514766,0.007419244796751837,-0.02331991818345713,0.0038169853774834873,0.04121674464206808,0.11184073457475212,0.1323031479961366,0.1322749803192291,0.16877225305364182,0.02019784450399646,-0.0051832355250363725,0.06705022795026747,0.10699395658751405,0.0539294217769428,0.05622627245202719,-0.06995641331569535,0.12168667386037173,0.18281933729390804,0.1076181942233835,0.09733303234114325,0.10200359411632687,0.003032946922756047,0.02843649900108995,0.04580094115471807,0.00036589546923746896,0.16277757597478765,0.2377081953885231
32,0.020473546501607293,0.023976871008695142,-0.02553794318796228,-0.012129656324279172,0.1424239104342126,0.14240235371966517,0.08810600441657189,-0.012881695211805535,0.17821997941719037,0.04101956306942895,0.05533710723370233,0.03551380091649507,0.04026460844198023,0.00437051028150316,0.004313843098412342,0.20555911255658976,0.09664758376422712,0.041719695519107064,0.19560538845364728,0.007779317141142698,0.16608634455240626,0.025492864450683574,-0.003284422663104835,-0.012982163178723269,0.06391192155516787,-0.017830977881441442,-0.021740142349407784,0.022062980973145557,0.00285265363865377,0.09663512847175484,0.1337013639831739,0.1424023626505911,0.18423654304356907,0.030548669295768074,0.010482711601721425,0.07751915075144432,0.0808629144180409,0.050635810226420906,0.05596652267619644,-0.05155036352686282,0.1471611288791889,0.17419821918303124,0.0961363624780448,0.09474064320078061,0.10976616574963738,0.027963094078016955,0.023596655178437488,0.06778422449863054,-0.007487298704484112,0.11927206481267807,0.22631835262102107
33,0.009709119083642628,0.025332933715832957,0.05787702890164163,0.01767042728533161,0.1534442125017822,0.15344422636333105,0.08701929939436001,0.030580657667906914,0.17818963979060687,0.07395489251623365,0.03581233403703875,0.04546586996317646,0.021787032745793192,0.04150879575092222,0.03860884033322291,0.16855813664875433,0.11630914768751262,0.02609494187774333,0.172244041497821,0.010775241254788641,0.13800151081118356,0.02345394693251307,0.025528689638794913,0.032788924582275655,0.06388027867662664,0.032853766303733975,-0.04216533486468199,0.02135895010077972,0.03948287562462306,0.11943833516507237,0.14070163859466087,0.1534442259952909,0.18748399327503643,0.010094032498914638,0.03129987854373114,0.09851849178719488,0.07247132943958587,0.0793816419037684,0.05284837525847004,-0.05301966442571189,0.15654739199643064,0.1870172039293173,0.09967231926229396,0.09877337391403966,0.13113724952873626,0.02439432884736449,0.03334212875360082,0.07417450468787405,-0.005382851523330471,0.14173937961754088,0.22694799727891712
34,-0.0034416002876147896,0.04634366959082211,0.06491469708876271,0.03533400785976205,0.18104701814532304,0.18132751925217255,0.03540504829752816,0.021466806237093985,0.15207529722138727,0.0973203046977758,0.031946022740548904,0.07691526302604386,0.000714734764508349,0.040834863601544404,0.025136542631591183,0.15626810035077085,0.11366147210763267,0.01800411116415458,0.17040584646914242,0.01273805552467377,0.14592501307061084,0.0026831346033529503,-0.004586356493629515,0.03428898857651331,0.06022422984080683,0.0331639952199515,-0.005072946033849634,0.01689631794867514,0.05860924524945582,0.13057428629040757,0.1318758704177995,0.18104702922695104,0.17881854203887057,0.02544644625518644,0.031144620769162534,0.09619025544379602,0.09026618040449712,0.0765279353290828,0.06110322483455032,-0.03540149387482017,0.16245113684825774,0.17379164318724666,0.10249623842298144,0.08781289696409997,0.13141185709350203,0.0019678653736056287,0.02393498260754532,0.07496379813016012,-0.02107111946389663,0.12042785104309303,0.22405362667224266
35,0.028305734526434225,0.01206164510122455,0.04839804074673692,-0.007804023822862303,0.14936115722950133,0.1493611616879553,0.023362915807202768,0.0014389631877909845,0.20504637472198425,0.08585525270313434,0.04649570256632702,0.07449782460067843,0.027304931024895115,0.032644820473428,0.02161675019682884,0.17346110684625213,0.12572524182416608,0.03867366362706519,0.18298581755983592,0.00442343169434878,0.14516560347673524,0.028885321510271712,-0.007393181175026973,0.0437424878453279,0.04435668106287371,0.02038545159154819,0.01542160422183195,0.018205305532673143,0.030484276449687105,0.11515140052866572,0.13099646396822962,0.14936115827692908,0.16461077963497125,0.04924010893443471,0.035842247187026284,0.08424574635639934,0.09419079485115575,0.08073302807077677,0.040605749534566554,-0.038744111978306656,0.13197691858782462,0.19610741856233396,0.10343129157422486,0.0856541991198041,0.11429425722059373,-0.020048695559472748,0.03930888141269878,0.08120126865557645,0.012946087004772705,0.12190889626631354,0.2356149071292139
36,0.03541438242852053,0.004599447436940256,0.028937940549586434,-0.025425979228278623,0.13769952628065477,0.13769953254116765,0.019789932565352684,0.007965383808840695,0.17210162896181488,0.07498547149920141,0.03399803637641853,0.07605193468187409,-0.014443293191213147,0.02866841977173521,0.03055822901560405,0.14369581193702247,0.10755230455793995,0.029836670858351462,0.1519032224407172,-0.008312349009393684,0.12060360247081475,0.01833775758730725,0.03182258602746029,0.024709744763663215,0.042694277760029896,0.011967694742441437,-0.024398733358207365,-0.010610770303253483,0.016727696492108212,0.11133750107764018,0.13045973006953562,0.13769953464475113,0.1646517348867969,0.008330575768039998,0.00035355482766086986,0.09702708152998514,0.052172908400296876,0.09077909575508801,0.04212176890864184,-0.07158518335484947,0.12404533940620603,0.18970780879025073,0.07553134383376729,0.07649216266951718,0.10252245307855502,0.0006898565763253741,-0.0008883738949864566,0.03428312757321892,-0.01950942831866633,0.07450429370257663,0.2465056993906148
37,0.05785257551170978,0.016883102711793805,0.009434208290108851,0.027144154678496183,0.13323423102448667,0.13323423501762213,0.04015096491492983,-0.03524865247163202,0.14537351041832308,0.03351095199211046,0.03662013125921669,0.037430701834042575,0.02034137293248172,-0.008653950155905475,-0.012865548578967717,0.15375119355438585,0.11346726637531367,0.020039422231465893,0.1708814867617755,0.0071421718137368645,0.14117553667000474,0.011515081649441724,0.010464564467732997,0.02784451417469526,0.04150102576113614,-0.0011194366877197678,-0.0032232540359966528,0.026524463890097057,0.024176033198475354,0.11347337402563497,0.14572968819771556,0.13323423802298953,0.1589218046746593,0.03514025412257967,0.027488310557346882,0.08196757358731309,0.07885767713232092,0.06754584838638866,0.06692504200572774,-0.05192175285643628,0.1424102524037584,0.18647373526698827,0.09148766263765137,0.10130789114563105,0.11739000932187725,0.02085108585647035,0.029829902771722906,0.0800892785400045,-0.01610798995714714,0.14150129951179793,0.252767989056383
38,0.035079818605558914,0.01109840820406785,0.022661779681369343,-0.006313526412735791,0.15451194384072547,0.15420424980606862,0.0294397025067857,0.007417194617045575,0.1678587885275358,0.05446663380851622,0.033700205079662954,0.044588615090380215,-0.012946428515904888,0.010834143245411007,-0.011454993598480588,0.1530799070686327,0.11022197756179142,0.009743898112953956,0.1493818923775303,-0.0074665197960436126,0.1314646419291317,0.015015296661676876,0.0006297716833568602,0.0009097710050249331,0.029496211300857725,0.0016895659897890032,-0.030813995478432436,0.0036491838261974363,0.05404131189224732,0.0919392776024877,0.1507647195722419,0.15451195072475582,0.17256204464019675,0.022752351848749307,0.017745394038140933,0.0794840127808595,0.07648682181524503,0.0639414470551884,0.02011924518844846,-0.04256546440550404,0.155530850559248,0.18537838507109805,0.0787212771983964,0.10417811914024282,0.09497276303498542,-0.008507170435233566,0.013396739301546529,0.041437082093704475,-0.0070563421448046814,0.17422686641690388,0.20883252361121973
39,0.025596479411177188,0.025276171343504888,0.03389663365370866,-0.05648072142361762,0.14969529123803335,0.14852251226921903,0.03664981388218494,-0.026400473454736468,0.179270246805366,0.056922623299196375,0.016053054663281132,0.05953010683777928,-3.857217047596999e-05,0.03526861632633904,0.0046692741819975665,0.1605676323447967,0.1395039846098066,-0.009159030196684658,0.1704341062216257,-0.01040289961549068,0.14588262608202343,0.026297577265684664,0.015786281045407368,0.015258586403912837,0.04038083740180046,0.0218702883491661,-0.006247329898812836,-0.0021724826452396086,0.04694646424866189,0.1205131787960364,0.14475959249717973,0.1485225250600207,0.1706601269029019,0.027394808077225743,0.000925856202780926,0.08934176870825893,0.07887766448339043,0.07884841119638915,0.020187202055545764,-0.021896926433833102,0.14741393382162943,0.1634290607538416,0.0786468092492373,0.07028656138332832,0.10418274757406606,-0.0047680310085318565,0.0074422857715468315,0.059063394206668236,-0.019692013629904533,0.14200264496824602,0.24143819843156072
40,0.03614009917037603,0.006685633004745255,0.006694084943760679,0.012071444270963357,0.1409323147553732,0.14093232876682257,0.02708428788320702,-0.010010588494950097,0.17186750322752367,0.03831112112301256,0.036532315820057615,0.04922211348488587,0.03171224783424597,0.0019948137773801895,0.02853700288685995,0.17045215165574307,0.09561141052942061,0.01942775635065767,0.15470989597876797,0.016646829882637812,0.1271751729878656,0.020271686422701097,0.001008732325543837,0.007358394832032188,0.023789823078586562,0.009388068983395706,-0.02232978092752074,0.015844524830455436,0.013172459280033563,0.08994025303260805,0.11440059386362042,0.14093232525720284,0.15169109707327985,0.02630163425814495,0.04122259719686493,0.10002471811310977,0.09455449826250928,0.09378490302604285,0.04890062232643566,-0.06821465680303379,0.1334167641402639,0.1807218259780944,0.08253503080832306,0.10580523708402637,0.12495846194536475,0.023105631864272207,0.0255013544353553,0.08551196974062551,0.007904779691526986,0.11013534419215232,0.22913762791087466
